review_id,source_listing_id,original_url,stratum,title,description_excerpt,price_raw,area_raw,listing_type_raw,auto_label_price,auto_label_area,auto_label_neighborhood,auto_label_type,parser_price,parser_area,parser_neighborhood,parser_type,human_price_ok,human_area_ok,human_neighborhood_ok,human_type_ok,human_notes
41,banesa-31237,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-31237,high_confidence,Leshohet banese me qira te Qafa,"Leshohet banese me qira te Qafa, rruga: Josip Rela. Eshte e gjysmemobiluar, gjendet ne katin perdhese, dhe mund te perdoret edhe per zyre.
Siperfaqe: 85m2
Renditja:
Sallon me kuzhine * 2 dhoma gjumi * banjo * ballkon * korridor.
Çmimi: 270 €

Per me shume informata rreth kesaj banese mund te na shkruani linkun me id ose nje screenshot te shpalljes, apo nje kerkese tuajen per banesa tjera, ne kete ",270 EUR,85,Qira,270.00,85.0,Qafa,rent,270.00,85.0,Qafa,rent,,,,,
42,banesa-50282,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-50282,random,Banese me qira ne Emshir,"Leshohet banese me qira ne Emshir,te Market Erza,Kati 2
Banesa ka kete renditje:
- 2 dhoma gjumi
- sallon dhe kuzhine ndamas
- banjo
- ballkon
- koridor
Qmimi 270€
bit.ly/3n3a6PU

Per me shume informata mund te na kontaktoni ne numrin
044 333 511
+383 44 333 511",270 EUR,85,Qira,270.00,85.0,Emshir,rent,270.00,85.0,Emshir,rent,,,,,
43,banesa-50700,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-50700,random,Banese me qira ne Dardani,"Leshohet banese me qira ne Dardani,Afer Super Vives
Banesa ka kete renditje:
- dhoma gjumi
- sallon dhe kuzhine
- banjo
- ballkon
- koridor
Qmimi 300€
bit.ly/3n3a6PU

Per me shume informata mund te na kontaktoni ne numrin
044 333 511
+383 44 333 511",300 EUR,60,Qira,300.00,60.0,Dardani,rent,300.00,60.0,Dardani,rent,,,,,
44,banesa-77456,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-77456,random,Banesë me qira në Arbëri,"Lëshohet me qira banesa në Arbëri, afër Sach Caffe. Është e mobiluar në tërësi dhe shumë e përshtatshme për banim.
Sistemin e ngrohjes e ka me Termokos. Ka garazh me hapësirë parikimi për dy vetura.
Sipërfaqe: 96m²
Çmimi:800
Banesa ka këtë renditje:
•	Sallon dhe Kuzhinë
•	2 Dhoma gjumi
•	Banjo
•	Ballkon
•	Koridor

Kodi: 3141

Për më shumë informata mund të na beni like faqen tone ne facebook
Smart",600 EUR,96,Qira,600.00,96.0,Arbëri,rent,600.00,96.0,Arbëri,rent,,,,,
45,banesa-81836,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-81836,random,Shitet banesa te Bregu i Diellit,"SHITET banesa te Bregu I Diellit, rruga Ibrahim Pacolli.  Banesa është e re, e sapo perfunduar, e pa mobiluar dhe e gatshme për banim.
Ndodhet në katin e V, ka ashensor.  Ka hapësirë për parkim. Ofron hapësira komode dhe të shfrytëzuara për një familje
Sipërfaqja: 89.32m²
Çmimi: 1500m²
Renditja:
•	Sallon dhe Kuzhinë
•	2 Dhoma gjumi
•	2 Banjo
•	Depo
•	Ballkon
•	Koridor

Kodi: 3645

Për më shumë inf",1 EUR,89,Shitet,150000.00,89.0,Bregu i Diellit,sale,150000.00,89.0,Bregu i Diellit,sale,,,,,
46,banesa-60511,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-60511,random,Banese me qira ne lagjen Aktash_2+1,"Banesë me qira në lagjen  Aktash, eshte e pa mobiluar, leshohet edhe per zyre,
Kati:1
Sipërfaqe:72
Çmimi i qirasë:
Renditja:
♦Sallon me kuzhinë
♦2 Dhomë gjumi
♦Banjo
♦Ballkon
♦Korridor

Për më shumë informata mund të na beni like faqen tone ne facebook Smart Real Estate,
bit.ly/2htS4cY
, apo per me shume oferta apo banesa te lira:
www.merrmeqira.com/user/profile/smart

ose mund të na kontaktoni në",500 EUR,72,Qira,500.00,72.0,Aktash,rent,500.00,72.0,Aktash,rent,,,,,
47,banesa-76006,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-76006,invalid,Banesë me qira në Arbëri,"Lëshohet me qira banesa në lagjen Arbëria, te Minimaxi. Banesa është e mobiluar dhe shumë e përshtatshme për banim.
Banesa ka këtë renditje:
•	Salloni dhe Kuzhinë
•	2 Dhoma Gjumi
•	2 Banjo
•	Ballkon
•	Koridor

Kodi: 3048

Për më shumë informata mund të na beni like faqen tone ne facebook
Smart Real Estate,
bit.ly/2htS4cY
, si dhe
www.instagram.com/realestatesmart/

apo per me shume oferta apo bane",1 EUR,1,Qira,1.00,,Arbëri,rent,1.00,,Arbëri,rent,,,,,
48,banesa-51187,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-51187,random,Banese me qira ne Arberi,"Leshohet banese me qira ne Arberi, te Ambasada Amerikane,banesa eshte komplet e mobilur, 90m2
Banesa ka kete renditje:
- 2 dhoma gjumi
- sallon dhe kuzhine
- banjo
- ballkon
- koridor
Qmimi 400€
bit.ly/3n3a6PU


Per me shume informata mund te na kontaktoni ne numrin
049 124 677
+383 49 124 677",400 EUR,90,Qira,400.00,90.0,Arberi,rent,400.00,90.0,Arberi,rent,,,,,
49,banesa-61063,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-61063,random,Banese-garsonjer me qira ne Qender,"Leshohet banese-garsonjer me qira ne Qender ,Kati 2 te Komuna e vjeter
Banesa ka kete renditje:

- Sallon
- Kuzhine
- Banjo
- Ballkon
- Koridor
Qmimi 170€

bit.ly/3n3a6PU

Per me shume informata mund te na kontaktoni ne numrin
049 124 677
+383 49 124 677
044 333 511
+383 44 333 511",170 EUR,0,Qira,170.00,,Qender,rent,170.00,,Qender,rent,,,,,
50,banesa-89815,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-89815,random,Banese (zyre) me qira te Parku i Qytetit,"Jepet me qira banesa (zyre) ne Prishtine te Parku i qytetit, gjysem e  mobiluar.
Banesa posedon garazhe
Gjendet ne katin e pare
Banesa ka kete renditje:
-Sallon me kuzhine
-tri dhoma gjumi
-nje banje me WC
-ballon
Qmimi 400 euro
Për më shumë informata mund të na beni like faqen tone ne facebook
Smart Real Estate,
bit.ly/2htS4cY
, si dhe
www.instagram.com/realestatesmart/

apo per me shume oferta a",400 EUR,75,Qira,400.00,75.0,Parku i Qytetit,rent,400.00,75.0,Parku i Qytetit,rent,,,,,
51,banesa-79580,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-79580,random,Banesë me qira në Lakrishtë,"Lëshohet me qira banesa në Lakrishtë, përball Nartelit. Banesa ka kuzhinën e kompletuar.
Ndodhet në katin e 1. Sistemin e ngrohjes e  ka me rrymë.
Sipërfaqe: 86m²
Çmimi: 500
Rënditja
•	Sallon dhe Kuzhinë
•	2 Dhoma gjumi
•	2 Banjo
•	Koridor
•	Ballkon
Banesa ka edhe garazhen 16m² me çmim shtesë +50

Kodi: 3405

Për më shumë informata mund të na beni like faqen tone ne facebook
Smart Real Estate,
bit",500 EUR,86,Qira,500.00,86.0,Lakrishtë,rent,500.00,86.0,Lakrishtë,rent,,,,,
52,banesa-91779,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-91779,random,Banesë me qira në Lagjen e Spitalit,"Banesë me qira në Lagjen e Spitalit

Çmimi: 280€

Në Rrugën: ''Muharrem Fejza'', te frizer Lindi, me 70m², kati 1, me kushte shumë të mira banimi, është e mobiluar në tërësi, si dhe ka këtë renditje:

Dhomë e ditës me kuzhinë dhe tryezari
2 Dhoma gjumi
Banjo, dhe
Ballkon.

Për më shumë informata mund të na kontaktoni:
043 835 299",280 EUR,70,Qira,280.00,70.0,Spitalit,rent,280.00,70.0,Spitalit,rent,,,,,
53,banesa-53075,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-53075,random,Banese ne shitje ne lagjen Arberia,"SHITET Banesë  në lagjen Arberia, rruga Vicianum afer kompleksi Tregtia dhe Meridian market, eshte e mobiluar ne teresi,lift funksional ,nxemja me kallda
Kati:4
Sipërfaqe:59.8m2
Çmimi i shitjes:7600  dhe shitet me mobile
Renditja:
♦Sallon me kuzhinë
♦Dhomë gjumi
♦Banjo
♦Ballkon i madh
♦Korridor
Për më shumë informata mund të na beni like faqen tone ne facebook Smart Real Estate,
bit.ly/2htS4cY
, o","76,000 EUR",60,Shitet,76000.00,60.0,Arberia,sale,76000.00,60.0,Arberia,sale,,,,,
54,banesa-84174,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-84174,random,Banese me qira ne Arberi,"Leshohet banese me qira ne lagjen Arberia, e mobiluar në tërësi, kompleksi Ambasador Residence
Banesa ka të gjitha pajisjet e nevojshme funksionale.
Sipërfaqe: 52m2
Çmimi: 370
Rënditja
• Sallon dhe Kuzhinë
• Banjo
• Ballkon
• Koridor
Kodi: 3801
Për më shumë informata mund të na beni like faqen tone ne facebook
Smart Real Estate,
bit.ly/2htS4cY
, si dhe
www.instagram.com/realestatesmart/

apo per m",370 EUR,52,Qira,370.00,52.0,Arberi,rent,370.00,52.0,Arberi,rent,,,,,
55,banesa-55045,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-55045,random,Banese me qira ne Arberi,"Leshohet banese me qira ne Arberi, te Meridiani,Kati 2
Banesa ka kete renditje:
- 1 dhoma gjumi
- sallon dhe kuzhine
- banjo
- ballkon
- koridor
- Garazha
Qmimi 300€
-ne Cmim jane te perfshira: Uji,Mirmbajtja e Hyrjes

bit.ly/3n3a6PU

Per me shume informata mund te na kontaktoni ne numrin
049 124 677
+383 49 124 677
044 333 511
+383 44 333 511",300 EUR,60,Qira,300.00,60.0,Arberi,rent,300.00,60.0,Arberi,rent,,,,,
56,banesa-41754,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-41754,random,Banese me qira ne Mati 1,"Leshohet banese me qira ne Mati 1
Banesa ka kete renditje:
- 1 dhome gjumi
- sallon dhe kuzhine
- banjo
- ballkon
- koridor
Qmimi 200€
bit.ly/3n3a6PU


Per me shume informata mund te na kontaktoni ne numrin
044 333 511
+383 44 333 511




",200 EUR,60,Qira,200.00,60.0,Mati 1,rent,200.00,60.0,Mati 1,rent,,,,,
57,banesa-91758,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-91758,random,Leshoj banese me qira ne bregun e diellit,Leshoj banese me qira ne prishtine ne bregun e diellit.Banesa ka 2 dhoma ka banjo korridor si dhe ka ballkon.Banesa eshte e mobiluar dhe e gatshme per banim.Qmimi eshte 280 euro dhe perfshihen te gjitha shpenzimet..,280 EUR,50,Qira,280.00,50.0,bregun e diellit,rent,280.00,50.0,bregun e diellit,rent,,,,,
58,banesa-56777,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-56777,random,Banese me qira ne lagjen Bregu i Diellit 2+1,"Banesë me qira në lagjen Bregu i Diellit, mbi Qerimi 2, afer permendores Rugoves.Banesa eshte e mobiluar ne teresi.
Kati:2
Sipërfaqe:70 m2
Çmimi i qirasë:300
Renditja:
♦Sallon me kuzhinë
♦2Dhomë gjumi
♦Banjo
♦Ballkon
♦Korridor

Për më shumë informata mund të na beni like faqen tone ne facebook Smart Real Estate,
bit.ly/2htS4cY
,  ose mund të na kontaktoni në këtë numër telefoni
044 393 777
WhatsAp",300 EUR,70,Qira,300.00,70.0,Bregu i Diellit,rent,300.00,70.0,Bregu i Diellit,rent,,,,,
59,banesa-77096,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-77096,high_confidence,Banese ( garsoniere ) me qira ne Lagjen Ulpiana,"Leshohet banese me qira ne lagjen Ulpiana te Fontana, komplet e mobiluar, kati i 2-te.
Banesa ka kete renditje:
Siperfaqe: 45m2
- Sallon me dy shtreter
- Kuzhine
- Banjo
- Koridor
Cmimi: 220 euro

bit.ly/3n3a6PU

Per me shume informata mund te na kontaktoni ne numrin
049 124 677 WhatsApp dhe Viber +383 49 124 677
044 333 511 WhatsApp dhe Viber +383 44 333 511",220 EUR,45,Qira,220.00,45.0,Ulpiana,rent,220.00,45.0,Ulpiana,rent,,,,,
60,banesa-75575,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-75575,random,Banesë me qira në Arbëri,"Lëshohet me qira banesa në lagjen Arbëri rruga Vicianum mbi Restaurant Sensens perballe me komunen e re dhe Albi Market. Banesa është e mobiluar dhe shumë e përshtatshme për banim per qift apo 1 apo 2 persona
Banesa ndodhet në katin e 5 dhe posedon ashensor funksional .
Banesa ka sistemin e ngrohjes me Termokos.
Çmimi: , plus depozita e obliguar.
Rënditja
• Sallon dhe Kuzhinë
• Dhomë gjumi
• Banjo",1 EUR,1,Qira,1.00,,Arbëri,rent,1.00,,Arbëri,rent,,,,,
61,banesa-52109,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-52109,random,Banese me qira Te Parku i Qytetit,"Leshohet banese me qira ne Parkun e qytetit, te Fitnesi ""Life Style""

Banesa ka kete renditje:
- 1 dhom gjumi
- sallon dhe kuzhine
- banjo
Qmimi 280€
bit.ly/3n3a6PU


Per me shume informata mund te na kontaktoni ne numrin
044 333 511
+383 44 333 511
",280 EUR,70,Qira,280.00,70.0,Parku i Qytetit,rent,280.00,70.0,Parku i Qytetit,rent,,,,,
62,banesa-8279,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-8279,random,Banes moderne me qira te Sllovenia Sporti,"Leshoj banesen me qira te Sllovenia Sporti afer ALBIT 80m2 kati i 5 e mobiluar ne teresi, lift funksional,
Banesa posedon:
- Sallon me Kuzhine
- 2 Dhoma Gjumi
- Koridor
- Banjo
- 2 Ballkona
Qmimi 300 euro

Per em shume informata ju lutem na kontaktoni ne numrin
WhatsApp & Viber:
045190019",300 EUR,80,Qira,300.00,80.0,Sllovenia Sporti,rent,300.00,80.0,Sllovenia Sporti,rent,,,,,
63,banesa-56406,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-56406,random,Banese me qira ne lagjen Mati 1 1+1,"Banesë me qira në lagjen Mati 1,ne rrugen Muharrem Fejza ndertesat e Muratorit,te Super Viva.Banesa eshte e mobiluar ne teresi.Banesa lirohet nga 1 Nentori.

Sipërfaqe:50 m2
Çmimi i qirasë:270
Renditja:
♦Sallon me kuzhinë
♦Dhomë gjumi
♦Banjo
♦Ballkon
♦Korridor

Për më shumë informata mund të na beni like faqen tone ne facebook Smart Real Estate,
bit.ly/2htS4cY
,  ose mund të na kontaktoni në këtë ",270 EUR,50,Qira,270.00,50.0,Mati 1,rent,270.00,50.0,Mati 1,rent,,,,,
64,banesa-41551,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-41551,random,Banese me qira ne lagjen Bregu i Diellit,"Leshohet banese me qira ne Breg te Diellit
Banesa ka kete renditje:
-  dhoma gjumi
- sallon dhe kuzhine
- banjo
- ballkon
- koridor
-Depo
Qmimi 200€

Per me shume informata mund te na kontaktoni ne numrin
049 124 677
+383 49 124 677
",200 EUR,60,Qira,200.00,60.0,Bregu i Diellit,rent,200.00,60.0,Bregu i Diellit,rent,,,,,
65,banesa-60637,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-60637,random,Banese me qira ne lagjen Arberia,"Banesë me qira në lagjen Arberia, banesa eshte e mobiluar ne teresi, moderne
Sipërfaqe:60
Çmimi i qirasë:350
Renditja:
♦Sallon me kuzhinë
♦Dhomë gjumi
♦Banjo
♦Ballkon
♦Korridor

Për më shumë informata mund të na beni like faqen tone ne facebook Smart Real Estate,
bit.ly/2htS4cY
, apo per me shume oferta apo banesa te lira:
www.merrmeqira.com/user/profile/smart

ose mund të na kontaktoni në këtë nu",350 EUR,60,Qira,350.00,60.0,Arberia,rent,350.00,60.0,Arberia,rent,,,,,
66,banesa-13145,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-13145,random,Banese ne shitje ne Mati 1 2+1,"Shitet banesa ne Mati 1, te Vellezerit Asllani, afer shkolles Pavaresia, banesa gjendet ne katine  7-te, e gatshme per banim, 112m2
Banesa posedon:
- dy dhoma gjumi
- dy banjo
- ballko
- koridor
- sallon dhe kuzhine
Qmimi 80 000 euro

Per me shume informata rreth kesaj banese dhe ofertave te tjera ju lutem na kontaktoni ne numrin
WhatsApp & Viber:
04519 00 19","80,000 EUR",112,Shitet,80000.00,112.0,Mati 1,sale,80000.00,112.0,Mati 1,sale,,,,,
67,banesa-81390,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-81390,low_confidence,Banesë në shitje në Arbëri,"SHITET banesa në Lagjen Arbëria, kompleksi Tregtia. Banesa është e mobiluar e gatshme dhe e përshtatshme për banim.
Banesa ka të gjitha pajisjet e nevojshme funksionale. Sistemin e ngrohjes e ka me Termokos. Ndodhet në një lokacion të përshtatshëm, me pamje Lindje Jug.
Banesa ka hapësirë të mjatueshme parkimi.
Pranimi teknik i kryer shumë shpejt, ka fletë poseduese. Kontrata te Avokati
Sipërfaqe:8",1 EUR,80,Shitet,160000.00,80.0,Arbëri,sale,160000.00,80.0,Arbëri,sale,,,,,
68,banesa-82132,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-82132,low_confidence,Banesë në shitje në Arbëri,"SHITET banesa në Arbëri, përball stadiumit ‘Fadil Vokrri’. Banesa është e mobiluar në tërësi, e gatshme dhe shumë e përshtatshme për banim.
Banesa ka të gjitha pajisjet e nevojshme. Ka hapësirë parkimi. Sistemin e ngrohjes e ka me Termokos.
Banesa ndodhet në katin e 2.
Sipërfaqe: 71m²
Çmimi: 1750m²
Renditja
• Sallon dhe Kuzhinë
• Dhomë gjumi
• Banjo
• 2 Ballkona
• Koridor
Kodi: 3675
Për më shumë i",1 EUR,71,Shitet,175000.00,71.0,Arbëri,sale,175000.00,71.0,Arbëri,sale,,,,,
69,banesa-30330,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-30330,random,Leshohet banese me qira ne lagjen Bregu i diellit,"Leshohet banese me qira ne lagjen Bregu i diellit, rruga: Ndue Perleshi, afer banesave te bardha. Banesa eshte komplet e mobiluar, me  mobile te reja, gjendet ne katin perdhese dhe mund te perdoret edhe per zyre

Siperfaqe: 60m2
Renditja:
Sallon me kuzhine, Dhome gjumi, Banjo, Ballkon, Korridor, garazhe, depo.
Çmimi: 250 €

Per me shume informata rreth kesaj banese mund te na shkruani linkun me id",250 EUR,60,Qira,250.00,60.0,Bregu i diellit,rent,250.00,60.0,Bregu i diellit,rent,,,,,
70,banesa-78903,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-78903,random,Banesë me qira në Lakrishtë,"Ofrohet me qira banesa në Lakrishtë. Banesa është e mobiluar në tërësi dhe është shumë e përshtatshme për banim.
Banesa ndodhet në katin e 8, ka ashensor funksional. Gjithashtu ka hapësirë të mjaftueshme për parkim.
Çmimi: 270
Rënditja
•	Sallon dhe Kuzhinë
•	Dhomë gjumi
•	Banjo
•	Depo
•	Ballkon
•	Koridor

Kodi: 3252

Për më shumë informata mund të na beni like faqen tone ne facebook
Smart Real Est",270 EUR,1,Qira,270.00,,Lakrishtë,rent,270.00,,Lakrishtë,rent,,,,,
71,banesa-8278,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-8278,random,Banes me qira ne Dardani 3+1,"Leshoj banes me qera ne Dardani te Kurrizi Prishtine, banesat e gjelberta Kati i Pare, 100m2
Banesa Posedon:
- Sallon
- 3 Dhoma gjumi
- Kuzhin
- 2 Banjo
- 2 Ballkona
- 1 Shpajz
Qmimi me marreveshje

Per me shume informata ju lutem na kontaktoni ne numrin
WhatsApp & Viber:
045190019",300 EUR,100,Qira,300.00,100.0,Dardani,rent,300.00,100.0,Dardani,rent,,,,,
72,banesa-78596,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-78596,high_confidence,Banese me qira ne lagjen Ulpiana,"Leshohet banese me qira ne lagjen Ulpiana ( D/7 ), e mobiluar e gatshme per banim
Banesa ka kete renditje:
- Sallon
- Kuzhine
- Dhome gjumi
- Banjo
- 2 Ballkona
- Koridor
Cmimi:  250 euro

bit.ly/3n3a6PU

Per me shume informata mund te na kontaktoni ne numrin
049 124 677 WhatsApp dhe Viber +383 49 124 677
044 333 511 WhatsApp dhe Viber +383 44 333 511",250 EUR,60,Qira,250.00,60.0,Ulpiana,rent,250.00,60.0,Ulpiana,rent,,,,,
73,banesa-79045,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-79045,random,Banese me qira ne lagjen Mati 1,"Lëshohet banesa me qëra te Mati 1 në rrugen Ukshin Kovaçica afer Shkolles Pavarsia.
Banesa ka 100m², ndodhet në katin e tretë dhe posedon:
1 Sallon me kuzhinë të kompletuar,
3 Dhoma gjumi
2 Tualete
1 Banjo
1 Depo mbrenda banesës dhe
1 Ballkon

Çmimi: 520€

bit.ly/3n3a6PU

Per me shume informata mund te na kontaktoni ne numrin
049 124 677 WhatsApp dhe Viber +383 49 124 677
044 333 511 WhatsApp dhe ",520 EUR,100,Qira,520.00,100.0,Mati 1,rent,520.00,100.0,Mati 1,rent,,,,,
74,banesa-62013,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-62013,random,Leshohet banesa me qira ne Dardani,"Leshohet banese me qira ne Dardani mbi kurriz banesat e gjelberta
Banesa eshte 55m2 kati 5
Banesa ka kete renditje:
- 1 dhoma gjumi
- Sallon
- Kuzhine
- Banjo
- Ballkon
- Koridor
Qmimi 200€ i negociushem
bit.ly/3n3a6PU

Per me shume informata mund te na kontaktoni ne numrin
049 124 677
+383 49 124 677
044 333 511
+383 44 333 511",200 EUR,55,Qira,200.00,55.0,Dardani,rent,200.00,55.0,Dardani,rent,,,,,
75,banesa-60519,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-60519,high_confidence,Banese me qira ne lagjen Ulpiana,"Banesë me qira në lagjen  Ulpiana, eshte e mobiluar ne teresi
Sipërfaqe:40
Çmimi i qirasë:250
Renditja:
♦Sallon me kuzhinë
♦Dhomë gjumi
♦Banjo
♦Ballkon
♦Korridor

Për më shumë informata mund të na beni like faqen tone ne facebook Smart Real Estate,
bit.ly/2htS4cY
, apo per me shume oferta apo banesa te lira:
www.merrmeqira.com/user/profile/smart

ose mund të na kontaktoni në këtë numër telefoni
04",250 EUR,40,Qira,250.00,40.0,Ulpiana,rent,250.00,40.0,Ulpiana,rent,,,,,
76,banesa-8326,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-8326,random,Banes moderne me qira ne Tophane,"Leshoj banese me qira ne Tophane, banesa eshte e mobiluar ne teresi, moderne, 75m2
Banesa posedon:
- dy dhoma gjumi
- sallon dhe kuzhine
- banjo
- ballkon
- koridor
Qmimi 250 euro

Per me shume informata ju lutem na kontaktoni ne numrin:
045 190 019
WhastApp & Viber:
+383 45 190 019",250 EUR,75,Qira,250.00,75.0,Tophane,rent,250.00,75.0,Tophane,rent,,,,,
77,banesa-73819,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-73819,invalid,Banese ne shitje ne Lagje te Spitalit,"Banese ne shitje ne Lagje te Spitalit, rruga: Muharrem Fejza, te Cima Construction.
Banesa ka kete renditje :
- Sallon
-Kuzhine
- Dhome gjumi
- Banjo
- Ballkon
- Korridor
Siperfaqe: 65m2
Cmimi 1250 euro m2

bit.ly/3n3a6PU

Per me shume informata mund te na kontaktoni ne numrin
049 124 677 WhatsApp dhe Viber +383 49 124 677
044 333 511 WhatsApp dhe Viber +383 44 333 511
","1,250 EUR",65,Shitet,125000.00,65.0,Spitalit,sale,125000.00,65.0,Spitalit,sale,,,,,
78,banesa-56367,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-56367,random,Banese me qira ne lagjen Qender 1+1,"Banesë me qira në lagjen Qender,perball Hotel Grandit,prane librarise Buzuku.Banesa eshte e mobiluar ne teresi.Banesa ka nxemje me Termokos.
Kati:9
Sipërfaqe:60 m2
Çmimi i qirasë:300
Renditja:
♦Sallon me kuzhinë
♦Dhomë gjumi
♦Banjo
♦Ballkon
♦Korridor

Për më shumë informata mund të na beni like faqen tone ne facebook Smart Real Estate,
bit.ly/2htS4cY
,  ose mund të na kontaktoni në këtë numër tele",300 EUR,60,Qira,300.00,60.0,Qender,rent,300.00,60.0,Qender,rent,,,,,
79,banesa-78521,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-78521,random,Banese me qira ne lagjen Tophane,"Leshohet banese me qira ne lagjen Tophane, komplet e mobiluar.
Banesa ka kete renditje:
- Sallon
- Kuzhine
- Dhome gjumi
- Banjo
- Ballkon
- Koridor
Cmimi: 320 euro

bit.ly/3n3a6PU

Per me shume informata mund te na kontaktoni ne numrin
049 124 677 WhatsApp dhe Viber +383 49 124 677
044 333 511 WhatsApp dhe Viber +383 44 333 511",320 EUR,60,Qira,320.00,60.0,Tophane,rent,320.00,60.0,Tophane,rent,,,,,
80,banesa-47800,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-47800,random,Banese me qira ne lagjen Arberi,"Banesë me qira në lagjen Arbëri (Dragodan) me siperfaqe prej 64m2.
Banesa gjindet në katin e parë mbi Sach Pizza.Bnesa eshte e mobiluar.
Kati:1
Sipërfaqe:64 m2
Çmimi i qirasë:
Renditja:
♦Sallon me kuzhinë
♦1Dhomë gjumi
♦Banjo
♦Ballkon
♦Korridor

Për më shumë informata mund të na beni like faqen tone ne facebook Smart Real Estate,
bit.ly/2htS4cY
,  ose mund të na kontaktoni në këtë numër telefoni
0",300 EUR,64,Qira,300.00,64.0,Arberi,rent,300.00,64.0,Arberi,rent,,,,,
81,banesa-59597,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-59597,random,Banese me qira ne lagjen Aktash_3+1,"Banesë me qira në lagjen Aktash, banesa eshte e mobiluar ne teresi
Sipërfaqe:120
Çmimi i qirasë:500
Renditja:
♦Sallon me kuzhinë
♦3 Dhomë gjumi
♦Banjo
♦2 Ballkona
♦Korridor

Për më shumë informata mund të na beni like faqen tone ne facebook Smart Real Estate,
bit.ly/2htS4cY
, apo per me shume oferta apo banesa te lira:
www.merrmeqira.com/user/profile/smart

ose mund të na kontaktoni në këtë numër ",500 EUR,120,Qira,500.00,120.0,Aktash,rent,500.00,120.0,Aktash,rent,,,,,
82,banesa-75069,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-75069,random,Banesë me qira në Ulpianë,"Banesë me qira në lagjen Ulpiana mbrapa AAK-së, banesa eshte komplet e mobiluar, me paisje funksionale dhe cilesore. Banesa ka ujë/rryme 24h, termokos.
Kati:3
Çmimi i qirasë: 300
Renditja:
♦Sallon me kuzhinë
♦2 Dhoma gjumi
♦Banjo
♦Ballkon
♦Korridor
Kodi:2508
Për më shumë informata mund të na beni like faqen tone ne facebook
Smart Real Estate,
bit.ly/2htS4cY
, si dhe
www.instagram.com/realestatesma",300 EUR,0,Qira,300.00,,Ulpianë,rent,300.00,,Ulpianë,rent,,,,,
83,banesa-54069,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-54069,random,Banese me qira ne Aktash,"Leshohet banese me qira ne Aktash, te posta Afer extrem pizza
Banesa posedon nxemje qendrore me termokos
Banesa ka kete renditje:
- 1 dhoma gjumi
- sallon dhe kuzhine
- banjo
- ballkon
- koridor
- depo
Qmimi 300€

bit.ly/3n3a6PU

Per me shume informata mund te na kontaktoni ne numrin
049 124 677
+383 49 124 677
044 333 511
+383 44 333 511

",300 EUR,70,Qira,300.00,70.0,Aktash,rent,300.00,70.0,Aktash,rent,,,,,
